1|Ram|20211101|3|ram@gmail.com|9856874856|6|2|20010909|5|2
2|Aman|20211101|3|aman@gmail.com|9856874856|6|2|20010909|4|2
3|Shyam|20211101|3|shyam@gmail.com|9856874856|6|2|20010909|5|2
4|Mukesh|20211101|3|mukesh@gmail.com|9856874856|6|2|20010909|5|2
5|Ajay|20211101|3|ajay@gmail.com|9856874856|6|0|20010909|5|2
6|Mahesh|20211101|2|mahesh@gmail.com|9856874856|5|0|20010909|5|2
7|Suresh|20221012|1|jangid8@gmail.com|8000900010|9|0|20001210|1|2
8|vijay|20210901|1|jangidw@gmail.com|8908908901|3|0|20001010|3|1
9|vijayEmp|20220101|1|jangiddd@gmail.com|8908908901|3|0|20001201|8|1
10|Vijay|20210101|3|jagn@gmail.com|8908908900|7|0|20000101|2|3
